"FULLY OBSERVABLE, Iteration:600, gamma:0.99, lamda:0.95, pathlength:5000",,,,,,,,,
Algorithms/Results,TRPO,PPO,PPOgamma095,PPOent,PPOentgamma095,PPOentretrace,PPOguided,PPOent-guided,PPOent-retrace-guided
Average Return,1.85,2.6,2.5,3.5,3.1,,,,
Discounted Reward,1.7,2.5,2.3,3.3,2.7,,,,
Entropy,2.48,,,,,,,,
,0.009,,,,,,,,
,0.0055,,,,,,,,
,0.0015,,,,,,,,
,0.0003,,,,,,,,
,0,,,,,,,,
,0,,,,,,,,
,,,,,,,,,
,,PPO,PPOgamma095,PPOent,,PPOentretrace,,,
,,3.5,2.9,4.3,,4.4,,,
,,3,2.6,3.1,,3.5,,,
,,1.6,1.6,1.6,,1.6,,,
,,0.17,0.03,1.28,,1.3,,,
,,0.12,0.03,1.18,,1.22,,,
,,0.065,0.027,1,,1.15,,,
,,0.053,0.029,0.95,,0.98,,,
,,0.046,0.023,0.9,,0.95,,,
,,0.032,0.024,0.9,,0.93,,,
