#{"env_id": "RockSample", "t_start": 1525271912.3588183}
r,l,t
-519.578041,126,0.466805
-127.644454,87,0.516271
-574.890018,91,0.569694
-231.334857,81,0.61659
-89.831907,89,0.66782
-255.239315,100,0.72506
-238.778074,98,0.782726
-287.887302,82,0.829922
-336.203358,103,0.889207
-374.738286,90,0.939778
-341.176926,94,0.993173
-464.211933,79,1.038721
-423.936195,109,1.101148
-283.256223,91,1.151811
-187.397914,112,1.221295
-154.7719,117,1.288608
-350.614224,98,1.345515
-272.388118,130,1.425357
-151.86156,82,1.472489
-91.708245,84,1.52099
-563.77617,116,6.233719
-104.342353,138,7.722548
-135.952208,139,7.803284
-108.426491,74,7.843991
-532.467435,123,7.916229
-218.160412,81,7.962508
-353.869789,114,8.029183
-159.398269,114,8.094021
-149.160832,120,8.164511
-222.218686,98,8.221931
-401.41194,142,8.307952
-419.302667,94,8.361563
-291.552871,138,8.447493
-383.408823,83,8.496327
-371.68961,93,8.550247
-462.731619,152,8.645836
-438.433331,106,8.714626
-136.387353,95,8.773535
-196.304778,196,9.208253
-339.274702,106,9.268067
-291.154399,87,9.319951
-259.531713,130,9.400949
-254.055581,96,9.458748
-252.426948,96,9.515361
-142.21442,157,9.614876
-305.602036,160,9.715568
-149.401848,132,9.795974
-176.688154,112,9.858405
-135.697192,132,9.939039
-287.99511,73,9.981106
-444.438632,82,10.026779
-119.463721,160,10.125129
-148.677433,150,10.223279
-215.82826,174,10.334087
-83.353316,174,10.731968
-384.549021,196,10.863035
-317.728638,140,10.952768
-243.023481,96,11.008256
-253.06617,158,11.10576
-118.125608,132,11.186568
-89.590513,92,11.239857
-122.907569,132,11.31962
-122.034223,234,11.483587
-287.933113,93,11.537936
-237.044342,103,11.597083
-229.333225,129,11.671479
-100.957462,109,11.735241
-316.883295,112,11.802073
-321.132125,105,11.863492
-291.770099,135,11.946279
-171.714428,97,12.281828
-118.739893,110,12.348566
-535.852841,137,12.432536
-65.549071,81,12.480397
-123.676017,104,12.54447
-177.04642,132,12.623865
-456.08281,137,12.707204
20.237016,1000,14.721545
-279.14882,99,14.780435
-356.587006,151,14.874919
-459.767505,113,15.225891
-343.090649,120,15.297692
-208.59744,109,15.362014
-270.252148,117,15.432704
-359.010696,135,15.515362
-162.631748,117,15.58534
-69.555843,110,15.651039
-331.263513,115,15.723763
-225.451514,94,15.781572
-192.029816,92,15.837567
-204.481108,101,15.896141
-458.232825,204,16.035632
-195.040261,99,16.093701
-148.529979,107,16.156717
-244.119503,95,16.214066
-140.545519,137,16.300678
-291.547636,105,16.365392
-173.289946,145,16.735103
-118.895403,113,16.805403
-278.032588,122,16.878776
-128.739695,143,16.967213
-177.60855,177,17.085767
-125.193121,90,17.139145
-93.306158,153,17.235255
-312.845422,139,17.322767
-141.679237,109,17.387997
-228.295381,151,17.480895
-54.40245,142,17.575099
-242.076884,180,17.690323
-215.214692,168,17.802037
-196.403834,167,17.916068
-205.19209,121,17.988559
-79.984519,98,18.330707
-50.854619,187,18.456649
-200.316739,140,18.545471
-138.082006,181,18.662126
-47.845688,179,18.782567
-53.488823,116,18.854125
-159.229473,150,18.949486
-52.07958,93,19.00435
-51.304122,201,19.138399
-167.795575,144,19.227745
-7.401522,136,19.317167
-111.564444,137,19.402771
-82.730991,132,19.482152
-69.938471,121,19.556968
-80.372949,112,19.935897
33.190472,1000,21.539016
-83.095772,190,21.67207
-63.800698,95,21.731807
-14.617446,146,21.825655
-287.487611,213,21.979141
-70.080938,143,22.071733
-119.124368,141,22.158336
-79.427686,183,22.562819
-38.46177,169,22.679193
-21.404027,190,22.805771
-135.722271,176,22.930202
-90.128034,193,23.072046
-41.332084,110,23.141669
26.362788,1000,24.685019
-109.781904,199,25.115837
-33.136922,154,25.217235
-73.65103,171,25.340452
-26.669507,197,25.474157
1.882362,240,25.65395
-21.294788,122,25.731524
-90.644466,174,25.848951
-70.537249,215,26.007093
7.310323,128,26.089468
-80.429259,220,26.246593
-48.574875,187,26.375929
-37.332675,161,26.483817
-77.286392,276,27.055984
-87.992363,188,27.194478
14.105146,1000,29.16422
-75.987304,237,29.342679
-185.768169,299,29.597212
-47.946473,223,30.060509
-50.625396,1000,31.683882
-167.252863,393,32.106733
1.817397,1000,34.368749
35.9344,1000,36.65888
25.424311,1000,38.250242
-197.108714,591,39.134525
-64.845252,1000,41.934329
27.606878,1000,43.409109
-33.578214,1000,45.911801
34.602307,1000,47.664006
82.887866,1000,50.007848
35.500175,1000,52.297074
-231.647625,676,53.208094
31.089954,1000,55.349953
34.951464,1000,57.029287
65.114495,1000,58.840603
0.651582,1000,60.937288
-73.097327,467,61.53474
2.813328,1000,64.595239
-138.260013,1000,66.491047
-18.38104,1000,68.944337
-84.994012,1000,72.042275
52.950938,1000,74.34321
30.386947,1000,76.770957
-70.220734,563,77.685494
30.785297,1000,80.263391
0.140349,1000,83.056527
10.950499,1000,86.143073
7.46876,1000,88.703421
45.048471,1000,90.324008
64.07948,1000,92.735572
34.448543,1000,94.56487
7.407067,1000,97.187113
106.439968,1000,98.579289
19.810775,1000,100.956022
34.982811,1000,103.046315
63.903385,1000,106.007617
56.275758,1000,107.289798
8.423697,1000,108.898852
0.968876,1000,111.297862
-41.712606,1000,113.467148
13.841635,1000,116.310828
60.177101,1000,117.964094
9.495112,1000,119.962916
32.275553,1000,122.064686
24.490919,1000,124.734766
-70.953095,1000,127.434784
57.425755,1000,129.881176
43.387651,1000,132.224963
127.439869,815,133.873258
82.17182,1000,135.477275
33.47664,1000,138.463372
3.89894,1000,140.470625
11.407622,1000,142.959906
18.548819,1000,144.511461
-6.322193,1000,146.579416
32.393677,1000,149.258127
36.089344,1000,151.496299
17.602157,1000,153.151277
45.213406,1000,155.783503
-11.946743,1000,157.792088
25.630305,1000,159.404639
53.298508,1000,161.322118
83.623564,706,162.128688
15.548392,1000,164.721026
-40.389906,1000,166.612133
86.85648,1000,168.97735
-42.912302,1000,170.845858
-9.815691,1000,174.61033
29.047572,1000,176.504161
11.186253,1000,179.230454
3.178117,1000,181.763551
-34.825919,1000,184.44704
32.628513,1000,186.517226
88.991582,602,187.583138
21.478127,1000,189.236207
-9.809428,1000,191.866823
22.437203,1000,195.09708
54.462821,1000,197.547945
33.18526,1000,199.448792
40.016855,1000,202.080022
32.193463,1000,205.010119
-144.252752,505,205.584265
73.250124,1000,207.866701
62.172906,1000,209.684934
56.133243,1000,212.73422
68.209482,1000,214.233012
-5.946932,1000,216.109419
-78.346692,361,216.459016
60.98869,1000,218.723376
-271.685566,673,219.761889
32.404877,1000,221.317856
36.077095,1000,223.878367
61.821925,1000,225.917108
70.93955,1000,228.19852
39.877022,1000,229.966674
104.632956,511,230.811502
43.373002,1000,233.472541
38.087012,1000,235.04099
49.472996,1000,237.780734
88.412179,572,238.560095
69.327575,1000,240.655918
145.502016,608,241.996432
64.38678,1000,243.651438
100.128162,975,245.588409
119.643641,664,246.898872
43.071034,1000,249.616519
45.01467,1000,251.838981
61.154371,1000,253.315
113.303234,649,254.447198
76.808701,734,255.451948
47.434584,1000,258.177039
130.805358,481,258.769477
-0.259264,1000,261.243059
42.377885,856,262.496423
42.091005,1000,264.679683
55.216307,880,265.903164
56.727209,1000,267.244515
-93.47428,437,268.206847
-79.379864,376,268.586798
66.845734,1000,270.70303
160.489665,507,271.647717
31.005349,1000,273.433604
24.563701,1000,276.671516
63.48385,779,278.455696
61.91136,1000,281.007597
49.349247,1000,283.11918
26.553682,1000,284.409338
47.104997,1000,286.928237
9.014293,1000,290.097092
34.89669,1000,293.107542
-150.441002,399,293.592117
42.032849,1000,295.570136
119.265206,539,296.624296
127.992928,470,297.247582
18.846849,1000,300.638866
5.005815,1000,302.235645
130.808378,676,303.234385
17.292675,1000,305.538509
2.673249,1000,307.918198
-83.002799,1000,309.695425
59.213512,1000,311.522753
32.661033,1000,313.812646
150.963924,806,315.0107
25.13281,1000,317.526382
122.571128,463,318.043645
69.819616,1000,320.275229
103.054165,437,321.187253
54.96649,1000,322.777894
38.348588,1000,325.075221
86.831932,1000,327.21251
-78.454191,427,327.67719
47.395158,1000,329.30606
-227.696671,473,329.825023
-95.05897,449,330.409406
144.263536,738,331.833769
98.217906,486,332.601161
-106.113825,379,332.955057
85.613065,593,333.910719
-93.986816,237,334.102183
57.011527,1000,336.85609
132.476943,488,337.580997
54.391156,1000,339.523721
114.326792,463,340.066609
117.905005,498,340.925311
-100.190305,1000,342.949139
-137.30759,361,343.372428
-15.805952,1000,345.046982
114.560651,583,346.23077
47.56706,1000,348.026385
-128.121131,378,348.41615
-125.883644,458,348.93746
93.862049,554,350.109601
-103.225219,368,350.502134
29.249368,1000,352.420274
86.308532,1000,354.107564
-167.790565,383,354.494534
25.827019,1000,357.623304
72.349093,589,358.670248
-107.026954,194,358.831657
57.487084,1000,361.384309
-144.121975,559,362.376981
152.131227,630,363.794873
123.685235,453,364.438119
118.000518,429,364.890867
-104.104501,370,365.644048
-109.306419,343,366.031278
44.006232,687,367.125716
91.085733,537,367.868341
-149.22344,240,368.077559
110.72509,532,369.31628
29.192827,1000,370.547893
85.384109,465,371.325546
72.339194,1000,374.099705
132.400054,438,374.751905
-113.924758,315,375.048542
26.498435,1000,377.456749
80.468348,1000,380.046445
-153.089355,388,380.547646
97.596702,349,381.229031
156.272675,490,381.895457
-90.853819,175,382.015929
-65.22807,225,382.215559
-114.824041,179,382.344873
40.626177,1000,384.910044
-84.651292,435,385.378461
112.308704,444,386.037267
102.469641,906,387.554088
-81.37423,261,388.058708
-98.26221,447,388.64753
112.331243,439,389.315023
43.608361,1000,391.606678
82.059419,1000,393.925011
96.277728,430,394.487788
152.444662,818,396.259297
-102.553669,263,396.501826
113.796242,488,397.167378
-89.885238,360,397.542201
145.820537,503,398.160491
86.609139,1000,399.930584
95.261055,561,400.712239
98.762474,435,416.670249
23.151521,1000,424.190061
-78.723423,427,424.591007
36.697116,1000,427.698884
61.508123,1000,429.890746
-58.293051,406,430.323749
46.005625,1000,432.231411
102.008862,780,434.183503
72.804542,1000,436.286951
109.167156,373,436.770523
-130.035777,320,437.10306
47.067752,1000,438.966144
74.487128,1000,440.90253
-86.175928,210,441.050382
93.060768,676,441.904562
14.19634,1000,444.363926
95.693977,472,445.000762
110.552031,957,447.46931
41.814658,1000,449.588572
98.270345,525,450.243536
143.742418,531,451.25802
136.732954,468,451.806782
177.786886,628,452.704966
80.307955,499,453.563079
118.106535,323,454.271539
-94.597574,345,454.578695
65.104657,1000,457.047716
62.269081,1000,458.956976
89.472542,1000,460.755871
96.199226,1000,462.557114
131.934801,554,463.101182
49.427714,1000,465.195574
95.467755,583,466.540138
-176.290435,244,466.755776
90.430284,1000,468.602409
123.171568,358,469.326977
199.440237,810,471.307306
58.467021,1000,472.725926
112.498288,421,473.735759
40.006051,1000,475.446299
112.8305,436,475.978323
144.119617,596,476.983847
24.777631,1000,478.727235
129.662,571,479.825365
116.91724,533,480.999767
-56.138321,359,481.357895
-45.803724,1000,482.856509
174.952706,846,484.698995
130.652849,511,485.585875
116.472355,426,486.130003
78.323855,1000,488.05473
-74.358241,401,488.432748
-57.471412,416,488.993084
118.309766,626,489.968746
13.255167,1000,492.622333
33.310794,1000,494.192275
78.374437,457,495.213987
134.489052,465,495.901934
56.677843,1000,497.218306
162.578878,503,498.230652
162.509718,464,498.947479
102.97289,629,499.801694
87.196565,591,500.82315
65.586243,1000,502.98224
-56.162378,444,503.534296
98.961003,546,504.512194
-138.234585,394,505.322231
0.587307,1000,506.839409
123.051787,479,507.66501
47.330229,1000,509.97507
-87.929565,250,510.198216
144.046569,417,510.690753
148.679837,467,511.222036
-10.745994,1000,513.813364
152.747313,482,514.576394
69.916718,1000,516.440919
113.215946,442,517.156559
42.846634,1000,519.713096
55.272634,1000,521.909977
122.660812,452,522.674654
113.188577,496,523.354359
26.357398,1000,525.479249
136.345014,431,525.886296
102.745321,1000,527.24467
45.843322,1000,530.191689
109.850196,514,530.862354
74.045244,1000,532.773202
100.832664,541,533.793173
142.370162,505,534.733372
115.741952,484,535.370663
103.536605,536,536.604644
38.839572,1000,539.591751
-72.268478,364,540.006996
142.763781,464,540.747896
144.841659,492,541.539687
71.100206,1000,543.375586
125.047546,486,544.023845
100.513204,1000,547.164949
55.756907,1000,548.562854
-105.260398,1000,551.24289
85.903656,1000,553.079001
94.184205,450,554.160676
113.11644,486,554.888504
131.419658,297,555.203189
84.156174,1000,556.824697
95.240227,1000,558.979325
167.452134,963,560.251601
92.466231,470,561.253337
130.499339,446,561.959879
173.083811,580,562.939334
28.191353,1000,566.013286
27.194431,1000,567.68908
139.427924,507,568.355713
79.77257,1000,570.121796
-80.739168,333,570.513797
41.976693,1000,572.488949
75.79358,1000,574.354816
39.300883,1000,576.030565
137.597355,482,576.752548
50.969705,958,577.952208
-118.200126,294,578.251552
50.263478,1000,580.213601
145.131794,520,580.868763
192.537168,489,581.817878
127.448535,438,582.812642
-152.089581,384,583.148685
146.316748,444,583.723269
151.057488,519,584.358969
84.12509,461,585.013154
78.917766,1000,586.812583
19.713589,1000,588.789525
17.014323,1000,591.701568
107.974994,409,592.318771
118.947788,391,592.89083
131.553501,514,593.667688
120.541336,427,594.096631
147.030175,925,595.569609
147.775945,476,596.292103
-85.674806,351,597.018849
128.270062,494,597.864527
159.036739,516,598.460535
64.761892,1000,601.468903
-76.961584,1000,603.426098
41.834335,1000,605.502235
-35.677247,437,606.036158
85.494696,1000,607.952429
173.947943,596,609.137795
-77.279509,221,609.317306
87.060983,1000,610.659791
88.854727,504,611.464059
10.57221,1000,614.045255
35.991224,1000,615.965202
90.500403,1000,618.069771
85.353721,496,618.737027
59.074791,1000,621.19207
52.881235,1000,622.484699
-93.757088,399,623.034349
-122.049229,339,623.370998
67.864865,1000,625.593596
-104.694799,425,626.265538
83.985076,1000,628.081157
90.709656,1000,629.753918
116.207319,359,630.179459
61.482505,1000,632.942087
20.657859,1000,634.92183
178.474675,540,636.056434
82.88452,1000,638.205296
-95.073666,403,638.666895
92.226108,1000,641.138618
146.11252,493,641.744038
183.683717,528,642.690392
34.149828,1000,644.439122
65.656906,1000,645.876538
141.421844,716,647.622534
153.782492,527,648.286543
145.769392,471,649.032359
159.259821,504,649.912384
2.062167,1000,652.371159
107.587322,516,653.231455
93.122831,1000,655.20144
46.806953,1000,657.531068
165.87295,628,658.84894
111.322908,1000,661.425412
-123.166018,330,661.76452
103.200595,445,662.325167
187.860728,547,663.135405
-129.409091,242,663.644798
199.139679,581,664.513035
83.977686,432,665.066001
121.188766,538,665.69518
40.133416,1000,667.941424
100.87154,866,669.339855
122.046842,450,670.092616
192.523117,527,671.162412
-107.127561,376,671.658742
20.181758,1000,674.316159
183.646327,491,675.378344
122.555918,641,676.638386
114.50659,460,677.424888
168.658959,625,678.777729
133.734627,647,680.152984
88.008656,445,680.827087
120.962825,515,681.470357
189.777092,572,682.628999
166.280402,485,683.452053
102.811862,958,685.448716
149.840106,493,686.181618
-104.093212,382,686.973917
-82.428,446,687.684713
220.117529,462,688.165171
48.564702,740,689.116682
206.305704,437,689.988444
100.672093,471,690.592016
76.350212,1000,691.823098
-93.196986,320,692.386248
78.339009,1000,693.778495
86.439026,507,694.649831
29.173499,1000,696.239155
162.670002,450,696.94667
192.279029,519,697.729747
56.559151,1000,700.399095
0.067775,1000,702.134964
126.198666,421,702.545521
194.781238,455,703.38046
165.458388,583,704.018162
107.834226,467,704.694867
165.926726,250,704.921574
-84.044506,329,705.261502
110.278156,649,706.451046
-9.728512,1000,708.36493
167.918747,615,709.649941
37.740254,554,710.622845
40.397175,639,711.526637
78.837636,1000,714.388256
70.979483,1000,716.692842
141.713988,400,717.155497
153.23335,538,718.46782
118.697669,794,719.572016
173.600189,476,720.329115
202.259442,475,721.077287
-88.339055,394,722.023296
161.634926,489,722.654059
156.596779,618,724.060479
85.943293,495,724.832499
-105.067919,387,725.650629
181.571387,486,726.394794
83.247359,608,727.267342
124.857401,527,727.950455
220.883975,482,728.971878
196.566303,496,729.868508
104.068145,547,730.582754
122.182937,436,731.020779
124.149425,805,732.776498
94.782245,1000,734.779814
167.628005,607,735.919807
181.385273,484,736.963549
129.434183,458,737.734257
168.401925,547,738.609989
178.245662,686,740.642301
-345.762264,599,741.712496
178.666539,475,742.552888
-23.729177,161,742.676689
91.11737,553,743.528552
175.263114,510,744.658246
134.790099,561,745.328706
76.465427,1000,747.168825
170.773103,429,748.106298
143.041069,479,748.793974
99.030833,546,749.530307
198.756619,750,751.288421
144.314048,542,752.53567
118.479186,476,753.119914
-118.650515,391,753.439753
23.553232,1000,756.125428
162.557861,541,757.31504
136.786862,548,758.335269
107.006239,514,759.186374
38.556438,1000,761.10523
144.609086,597,761.891591
179.184571,525,762.967112
-96.788046,402,763.384713
177.371541,472,764.272669
117.196566,517,765.096437
128.769068,565,765.849673
105.648671,452,766.928236
179.7873,490,767.773901
73.094525,1000,770.256141
84.988014,546,771.587157
6.060578,1000,773.457936
45.350871,1000,776.338115
96.179612,445,776.940382
76.285283,1000,780.335372
229.476454,419,781.143533
48.557496,676,782.446777
165.509913,911,784.124715
126.429474,332,784.82381
199.089599,497,785.664088
201.675721,482,786.376109
169.729426,555,787.400757
138.185623,393,787.807724
11.156366,1000,790.120452
111.768288,584,791.34035
147.241317,770,793.154838
175.134634,629,794.240231
63.699719,1000,796.033164
66.655946,776,798.303761
76.288984,487,798.886244
52.017475,1000,801.72644
54.006101,643,803.481786
33.633124,1000,806.278471
128.146727,405,806.751065
20.199056,1000,840.390033
88.449673,404,854.228989
93.179144,1000,856.038729
153.92672,481,857.029455
-0.562653,1000,859.761317
118.20242,472,860.634746
155.002975,673,862.492871
172.669045,486,863.55885
126.146492,455,864.467716
155.54855,465,865.229751
201.711857,486,865.753085
-72.925071,247,866.278133
-48.539532,456,866.918556
72.909475,497,867.710843
193.444528,536,868.646013
203.755525,455,869.380546
148.469454,476,870.34165
93.212595,1000,872.532633
161.798597,495,873.419585
100.623075,410,874.397488
129.673156,374,874.991276
78.595343,663,876.008032
91.167521,453,876.511652
111.295541,437,877.41373
100.479722,449,878.099476
79.054115,437,878.734765
165.732787,256,879.007288
180.411696,527,879.991095
47.632068,1000,882.334209
129.876099,500,883.08225
181.033382,980,885.24535
105.001294,1000,888.435458
72.502496,1000,890.556807
182.178975,512,891.414292
160.942274,558,892.248603
165.864714,481,893.067801
203.037501,492,894.026041
126.509359,380,894.56545
-116.532943,330,894.918039
174.384073,501,895.607679
163.733898,408,896.031811
80.787371,527,897.046484
124.321727,680,898.445421
54.103703,575,899.256968
