#{"t_start": 1525356790.6065857, "env_id": "RockSample"}
r,l,t
-159.681744,130,0.482485
-149.573585,180,0.596427
-444.508652,145,0.685579
-485.184689,102,0.744116
-614.947101,92,0.794571
-120.994739,90,0.846394
-457.789619,83,0.893057
-322.085926,106,0.955609
-127.667675,92,1.010341
-106.397354,106,1.071922
-384.236865,98,1.128424
-165.893093,85,1.17742
-386.683886,82,1.223026
-316.19502,94,1.27758
-447.521075,81,1.325
-623.643001,106,1.385001
-370.985361,133,1.464708
-137.074836,139,1.546369
-144.959259,133,6.788407
-222.346884,119,8.500897
-106.777867,93,8.553329
-69.181725,71,8.592872
-227.959473,94,8.647194
-114.123461,126,8.722914
-79.771299,100,8.780524
-185.651211,66,8.815715
-95.53363,75,8.858287
-143.599531,81,8.904546
-220.604368,142,8.994446
-108.388033,100,9.049943
-166.610247,83,9.098215
-205.850291,103,9.15966
-341.981538,91,9.211474
-500.536088,86,9.266863
-258.38322,110,9.335314
-414.704499,114,9.405697
-135.458777,120,9.477966
-246.937224,99,9.542796
-383.239337,122,9.621717
-103.490599,98,9.968924
-273.532728,97,10.026631
-266.768535,97,10.081346
-323.596175,99,10.137966
-237.46939,117,10.206876
-307.620859,92,10.259555
-122.942401,139,10.342499
-142.08643,149,10.432867
-427.613877,94,10.490191
-264.954726,116,10.560616
-103.947062,134,10.640795
-134.998322,150,10.734534
-149.925678,125,10.809347
-311.583643,110,10.873011
-162.041254,131,10.95366
-89.796842,83,11.001635
-162.742081,90,11.052861
-119.619981,90,11.103858
-148.485468,140,11.484948
-335.874929,77,11.528033
-488.034076,97,11.584975
-257.280167,118,11.654104
-228.692281,140,11.739206
-190.174311,103,11.796464
-144.816304,98,11.852617
-150.560822,146,11.944614
-123.631347,120,12.01902
-220.340306,113,12.085029
-475.691491,105,12.146027
-307.331188,107,12.208833
-214.408369,124,12.280668
-189.548165,108,12.343721
-442.059327,149,12.436774
-193.570184,109,12.499517
-300.736423,107,12.560963
-311.036672,138,12.643727
-83.34216,109,12.991029
-192.878381,134,13.076273
-214.826737,196,13.208491
-93.277718,154,13.303509
-313.732175,87,13.35194
-56.953382,112,13.421749
-220.034588,85,13.470699
-319.336794,155,13.567847
-113.64027,142,13.655817
-130.854993,195,13.787412
-237.24093,219,13.935139
-164.235679,130,14.016342
-115.48612,140,14.103522
-133.214148,218,14.251758
-218.520828,159,14.63807
-144.098471,168,14.744118
-112.639512,141,14.83217
-119.892451,157,14.930828
-96.307916,176,15.040839
-244.467983,222,15.191849
-83.139258,195,15.328466
-115.312403,159,15.431033
-181.573729,115,15.499632
-121.361567,201,15.63533
-189.374729,191,15.758821
-59.419426,127,15.840072
-210.263362,216,16.333625
-62.819754,168,16.441709
-102.117778,140,16.527852
-115.225685,212,16.676775
