nupdates,Name,clipfrac,serial_timesteps,total_timesteps,EpLenMean,trial,value_loss,loss_ent,explained_variance,fps,policy_loss,approxkl,EpRewMean,time_elapsed,Iteration
1,PP02-awake,0.05673828,2048,2048,108.0,0,0.3782852,2.8430738,0.027764558792114258,1297,-0.007138896,0.0047044726,-323.3924567222222,1.578202247619629,1
2,PP02-awake,0.030712891,4096,4096,103.65789473684211,0,0.025100738,2.8513632,-0.6465326547622681,1355,-0.006960506,0.0031475741,-264.43955063157887,9.546139240264893,2
3,PP02-awake,0.066064455,6144,6144,106.25,0,0.016358305,2.8539243,-0.383988618850708,1358,-0.0071933544,0.0050837947,-245.59702691071428,11.053504943847656,3
4,PP02-awake,0.058984376,8192,8192,108.77027027027027,0,0.017553845,2.8552358,-0.20645153522491455,1367,-0.0069441036,0.005248311,-249.67169374324322,12.551353216171265,4
5,PP02-awake,0.1227539,10240,10240,115.05681818181819,0,0.004160949,2.849109,0.4677317142486572,1283,-0.016962584,0.008458748,-237.09953877272727,14.147032976150513,5
6,PP02-awake,0.08847656,12288,12288,121.36,0,0.0056201285,2.8273687,0.4785730838775635,1274,-0.012744715,0.006774728,-225.50867684999997,15.753676176071167,6
7,PP02-awake,0.1071289,14336,14336,127.64,0,0.002612478,2.7981374,0.7137041687965393,1219,-0.0150097385,0.007727218,-197.92980039999998,17.43554949760437,7
8,PP02-awake,0.060546875,16384,16384,137.04,0,0.0040027946,2.7838712,0.626806378364563,1077,-0.008456848,0.0051115863,-183.01560153,19.337095022201538,8
9,PP02-awake,0.080273435,18432,18432,145.63,0,0.005150348,2.761342,0.7641642689704895,912,-0.010276957,0.0062316367,-180.73166206000002,21.580652713775635,9
10,PP02-awake,0.091992185,20480,20480,161.64,0,0.0038554885,2.7360666,0.8262640237808228,715,-0.010562944,0.0068142824,-168.41505641999993,24.442649364471436,10
11,PP02-awake,0.09716797,22528,22528,180.64,0,0.005177729,2.724605,0.8124886155128479,646,-0.01201519,0.007890219,-162.38209286000003,27.60873293876648,11
12,PP02-awake,0.081884764,24576,24576,194.35,0,0.0036107344,2.6860576,0.7908637374639511,601,-0.01094076,0.007066591,-159.86473805,31.014236450195312,12
13,PP02-awake,0.09238281,26624,26624,211.92,0,0.0019750232,2.6437366,0.840553030371666,429,-0.007220312,0.0071331845,-154.85303957,35.788132429122925,13
14,PP02-awake,0.070410155,28672,28672,224.44,0,0.0035909016,2.6445742,0.7586532682180405,449,-0.011985115,0.006095582,-153.96308317999998,40.34330892562866,14
15,PP02-awake,0.11357422,30720,30720,242.09,0,0.0011175952,2.6479068,0.8844706937670708,420,-0.01160711,0.008550438,-150.02120864999998,45.21155834197998,15
16,PP02-awake,0.09492187,32768,32768,259.95,0,0.0009838785,2.6316094,0.9211114719510078,475,-0.009779036,0.0073619536,-147.62774834999996,49.51495671272278,16
17,PP02-awake,0.07475586,34816,34816,278.15,0,0.00093383866,2.6061568,0.8693507164716721,545,-0.007206357,0.0060491045,-144.59959518999997,53.26785945892334,17
18,PP02-awake,0.07373047,36864,36864,295.98,0,0.001800962,2.5994124,0.6041718125343323,532,-0.0077937497,0.0058337245,-140.36843929999998,57.11312389373779,18
19,PP02-awake,0.0859375,38912,38912,322.43,0,0.0014487625,2.6014051,0.7981278598308563,543,-0.008479573,0.006816449,-132.41122878,60.87875318527222,19
20,PP02-awake,0.072705075,40960,40960,337.6,0,0.005374737,2.5943701,0.5141388177871704,532,-0.0035321675,0.005733667,-132.29284184,64.72388005256653,20
21,PP02-awake,0.06992187,43008,43008,354.94,0,0.0016386937,2.5958934,0.8074131309986115,458,-0.00749342,0.005768577,-129.29631744999998,69.18706583976746,21
22,PP02-awake,0.1184082,45056,45056,372.76,0,0.0008258441,2.5836701,0.8616666495800018,481,-0.0100700185,0.008650606,-121.8775375,73.43747138977051,22
23,PP02-awake,0.07602539,47104,47104,390.45,0,0.0005834579,2.5541432,0.8956336230039597,435,-0.0047084885,0.0062884837,-117.50491377999998,78.14465951919556,23
24,PP02-awake,0.06938477,49152,49152,407.88,0,0.00056107034,2.52907,0.867522269487381,466,-0.00511754,0.005640277,-110.79639653999999,82.53783106803894,24
25,PP02-awake,0.07446289,51200,51200,425.72,0,0.00025241848,2.5046897,0.9197594672441483,420,-0.0058424184,0.0062967218,-106.48797322,87.40396285057068,25
26,PP02-awake,0.06552734,53248,53248,443.25,0,0.00034774435,2.4911947,0.9311987459659576,371,-0.00529402,0.0055082757,-103.11874913000001,92.92403745651245,26
27,PP02-awake,0.11352539,55296,55296,459.95,0,0.00045949864,2.4870677,0.9285592585802078,523,-0.007152853,0.008195692,-98.66316312,96.83906769752502,27
28,PP02-awake,0.07094727,57344,57344,477.54,0,0.00026765242,2.4679546,0.9347842037677765,454,-0.005066742,0.006182734,-95.60204999999998,101.34403157234192,28
29,PP02-awake,0.06171875,59392,59392,494.23,0,0.0005211831,2.4543557,0.9003450646996498,542,-0.0053397985,0.0052239457,-93.42823277999997,105.12097072601318,29
30,PP02-awake,0.05205078,61440,61440,511.26,0,0.00024290383,2.4312801,0.9101572036743164,449,-0.0040013404,0.004852675,-90.22463633,109.68395447731018,30
31,PP02-awake,0.045654297,63488,63488,535.82,0,0.00015857196,2.420069,0.9298834353685379,447,-0.0017482754,0.004504933,-86.47825591,114.2630262374878,31
32,PP02-awake,0.07290039,65536,65536,552.24,0,0.0005442642,2.4055905,0.8517189621925354,508,-0.005802534,0.0062951804,-84.76999539999998,118.28941440582275,32
33,PP02-awake,0.099804685,67584,67584,568.97,0,0.0006663162,2.3637776,0.8197156190872192,501,-0.009701792,0.008630033,-81.49715058,122.37453055381775,33
