#{"t_start": 1525271944.5967844, "env_id": "RockSample"}
r,l,t
-116.863253,49,0.544588
-120.286028,62,0.583813
-115.095607,1600,1.557173
-109.389999,72,4.995908
-117.37278,62,6.319287
-110.615981,1600,7.320342
-116.253704,100,7.382855
-101.942292,106,7.449921
-113.330438,1600,8.730125
-110.61615,1600,10.02364
-108.405475,80,10.075014
-105.202088,62,10.114152
-121.081914,1600,11.409133
-112.631885,60,11.448335
-104.882648,104,11.515528
-103.474568,48,11.548344
-112.16626,1600,12.887114
-106.945664,1600,13.861331
-106.338267,49,14.190053
-99.867027,57,14.227615
-106.90046,1600,15.210267
-119.598861,83,15.262587
-113.000078,69,15.3071
-112.939426,1600,16.584064
-164.961363,1004,17.477166
-115.888476,1600,18.506011
-124.202488,1600,19.789753
-106.826538,126,19.868611
-101.89553,88,19.923416
-94.512951,1600,21.21102
-100.507733,1600,22.492989
-98.050105,1600,23.839397
-91.338544,1600,24.855696
-140.939436,647,25.622282
-103.571181,1600,26.968021
-108.690823,94,27.031232
-110.820449,92,27.09539
-82.059859,1600,28.127402
-85.347543,1600,29.461816
-105.347667,203,29.595151
-108.095586,56,29.635793
-111.254819,183,29.756259
-112.952819,55,29.79357
-107.544641,90,29.854024
-78.487926,1600,31.181652
-98.721155,99,31.245767
-107.162839,133,31.330428
-107.066408,412,31.882369
-111.774872,238,32.03015
-106.173163,161,32.130776
-105.045451,151,32.225579
-106.599526,59,32.266507
-113.051879,261,32.43602
-115.87479,60,32.476623
-110.057792,43,32.507897
-108.009741,58,32.548221
-102.398888,63,32.595454
-108.708301,69,32.641788
-107.762166,111,32.720479
-146.390572,972,33.647491
-109.5481,74,33.697297
-79.955078,1600,35.054017
-103.68033,81,35.11073
-77.327541,1600,36.119052
-111.826032,57,36.160264
-118.892009,310,36.69133
-79.804056,1600,37.744912
-88.590812,1600,39.106082
-77.41426,1600,40.469288
-79.034363,1600,41.806215
-79.735371,1600,42.818485
-109.662586,48,42.852181
-75.699937,1600,44.181046
-69.158744,1600,45.535433
-90.935126,1600,46.900478
-59.57577,1600,48.319654
-72.039914,1600,49.340695
-129.538121,110,49.41529
-154.181031,1453,50.645733
-72.891493,1600,51.948689
-61.856774,1600,53.274786
-114.050722,61,53.317514
-113.272403,52,53.355141
-110.146848,73,53.405797
-42.741896,1600,54.712876
-49.89143,1600,55.734603
-57.913109,1600,57.060249
-51.510477,1600,58.373867
-106.856578,65,58.418758
-36.298247,1600,59.727137
-21.469725,1600,60.725924
-41.511248,1600,62.039189
-54.38021,1600,63.340081
-124.298798,1178,64.388151
-22.617291,1600,65.403677
-124.402522,1129,66.418692
-29.46609,1600,67.729
-22.05279,1600,69.033904
-32.465146,1600,70.02844
-31.268622,1600,71.339381
-106.293658,833,71.85816
-113.568666,263,72.334961
-15.103736,1600,73.345707
-17.885527,1600,74.671125
10.919651,1600,75.969267
-108.462052,57,76.008043
11.142578,1600,77.314031
5.392887,1600,78.624276
19.256622,1600,79.626848
-88.774181,1193,80.673043
32.786405,1600,81.97679
25.312458,1600,82.979562
56.900284,1600,84.2983
41.78724,1600,85.596323
53.919202,1600,86.9034
68.460669,1600,88.209538
83.527486,1600,89.200282
84.665256,1600,90.513337
23.702794,1600,91.831007
71.860613,1600,93.133988
-72.580686,409,93.385617
-34.79873,1263,94.468941
-91.080226,378,94.710073
97.589941,1600,96.010888
-7.650481,1334,96.833576
117.28786,1600,98.123277
69.109523,1600,99.4132
119.097816,1600,100.393659
131.821334,1600,101.677742
30.848245,1594,102.955406
87.632112,1600,104.256211
117.53419,1600,105.54646
-10.433713,1244,106.310484
-3.200092,1346,107.437548
-53.767431,730,107.896172
-105.489582,52,107.931697
-89.028655,172,108.040545
141.125564,1600,109.330319
-92.623557,177,109.443731
-80.564189,326,109.64897
-38.465536,860,110.480925
-91.003216,162,110.584157
147.346482,1600,111.867979
-19.230449,938,112.445585
-27.792945,965,113.352879
0.455256,1212,114.09463
-30.54097,756,114.874271
-29.827143,908,115.42557
-45.523176,607,115.804447
-53.808747,893,116.667199
2.594997,1254,117.427628
128.20597,1600,118.711975
177.300724,1600,120.004048
-100.44992,66,120.047876
-9.843231,1046,120.691406
122.247276,1600,121.995694
-49.465748,508,122.327664
16.807469,1435,123.556388
144.498097,1600,124.861681
157.798362,1600,126.156738
166.449634,1600,127.441644
152.817243,1600,128.424823
-103.123031,55,128.463994
139.598005,1600,129.762154
165.313682,1600,131.057504
189.538846,1600,132.353801
168.061361,1600,133.338233
-73.970035,243,133.795954
173.096952,1600,134.77027
-44.241186,456,135.361754
-107.029524,63,135.404646
154.98788,1600,136.379805
209.318077,1600,137.666095
180.076852,1600,138.956771
163.825466,1600,140.251006
-90.478751,486,140.547963
158.315209,1600,141.85172
-67.472176,523,142.183807
-0.432644,928,142.748684
207.177062,1600,144.037682
203.661246,1600,145.331391
-45.010603,402,145.577762
218.199775,1600,146.879042
-104.894765,70,146.927688
227.113637,1600,148.230065
-119.891073,81,148.28183
-28.501004,556,148.645952
226.52119,1600,149.930339
58.167477,1286,151.023184
228.173665,1600,151.994909
241.049289,1600,153.321267
28.480713,989,154.239851
245.941872,1548,155.182619
244.675942,1560,156.444145
247.533193,1520,157.677776
245.997168,1546,158.934749
-23.672851,489,159.238284
-85.741988,209,159.369073
248.626911,1500,160.580083
250.375707,1466,161.461727
69.967726,1096,162.44871
27.317107,842,191.964709
257.562073,1435,207.920079
252.033928,1446,209.139824
259.596689,1413,210.319088
33.404221,714,210.761797
75.594547,1006,211.380055
245.060385,1541,212.64869
137.277912,1282,213.746114
253.935439,1457,214.956397
255.7963,1416,215.829625
259.629484,1351,216.985603
-14.053644,465,217.271444
29.917615,701,217.711871
260.060528,1362,218.866182
129.917675,1165,219.898692
261.915585,1350,220.737294
261.545891,1342,221.869187
12.388676,638,222.268963
261.869276,1327,223.402357
49.54384,932,223.984623
257.365549,1391,225.15036
132.282614,1245,226.234644
264.747714,1310,227.038997
263.465781,1310,228.170466
268.035681,1262,229.258645
8.652828,610,229.635735
74.404691,949,230.219705
263.159037,1319,231.351862
263.543911,1306,232.472766
265.047278,1281,233.254453
260.748141,1329,234.375476
266.836442,1266,235.459287
267.951714,1264,236.245017
262.058331,1320,237.385402
97.550558,1014,238.007932
-54.754871,345,238.223832
266.923477,1290,239.327269
56.930045,778,239.808562
76.752519,843,240.645479
266.503123,1281,241.452675
259.349932,1363,242.610211
264.182132,1298,243.730243
264.51171,1280,244.522252
267.955753,1237,245.612843
109.087507,926,246.183218
271.931459,1204,247.221359
268.89608,1212,248.283594
119.350518,1033,248.930951
-123.818014,62,248.972316
269.783666,1220,250.044195
271.19043,1202,250.795905
272.190907,1176,251.83513
271.561297,1193,252.893385
273.526851,1167,253.614371
272.831363,1187,254.657521
273.295654,1176,255.39335
272.092765,1181,256.433338
14.201709,599,256.809387
-119.463383,66,256.853902
274.428218,1170,257.886566
268.929323,1241,258.666523
273.676781,1180,259.716042
272.774538,1168,260.434508
71.772195,867,261.290748
272.987424,1168,262.023132
272.890242,1163,263.066046
274.195923,1153,264.09577
274.048447,1168,264.819615
109.380039,932,265.713774
263.581504,1281,266.509575
275.102071,1142,267.527046
269.479965,1228,268.2974
264.143765,1281,269.400371
274.742081,1123,270.387704
104.419926,967,270.987756
276.213711,1097,271.965778
274.163068,1153,272.67723
269.901545,1181,273.708728
270.505419,1171,274.421676
269.179165,1198,275.459226
270.906091,1152,276.156001
52.07386,695,276.893411
273.264144,1129,277.58044
-14.401276,402,278.136725
-28.117641,389,278.379093
269.481018,1204,279.104684
270.561577,1176,280.138734
274.455049,1123,280.823686
274.954906,1132,281.821317
271.566028,1188,282.847502
269.830396,1184,283.574815
272.049789,1151,284.581004
272.503774,1171,285.28996
-2.794111,506,285.913126
275.122658,1131,286.605968
269.294162,1191,287.638901
268.873121,1214,288.375049
272.41258,1160,289.397229
-98.454048,88,289.4549
276.10413,1113,290.125059
273.271364,1158,291.139116
265.774486,1251,292.201537
270.906286,1174,292.932153
268.361754,1217,293.977781
272.805929,1143,294.678656
272.148018,1147,295.694589
-123.489594,67,295.739081
271.347595,1166,296.44505
272.644709,1143,297.457552
270.10219,1189,298.493611
270.466892,1156,299.201372
272.832554,1130,300.196451
274.098811,1107,300.867071
273.090555,1110,301.853562
268.738772,1165,302.56512
273.558623,1133,303.565775
276.592505,1073,304.211915
273.75681,1101,305.20101
273.836213,1119,306.195866
272.229507,1156,306.90732
273.334746,1119,307.91315
271.42583,1156,308.624758
274.00577,1099,309.609388
276.267287,1092,310.274153
277.418876,1079,311.248089
277.441143,1090,311.916296
272.372492,1182,312.950537
274.99584,1113,313.627447
256.86855,1365,314.77664
