nupdates,value_loss,total_timesteps,trial,Name,fps,EpRewMean,Iteration,approxkl,EpLenMean,explained_variance,policy_loss,serial_timesteps,time_elapsed,loss_ent,clipfrac
1,0.3643103,2048,0,PP02,1245,-117.41496266666667,1,0.0068387515,570.3333333333334,-0.2658740282058716,-0.0127205625,2048,1.6439619064331055,5.685092,0.089697264
2,0.06358705,4096,0,PP02,1297,-114.06137785714284,2,0.0069154664,511.2857142857143,-0.07277548313140869,-0.018114239,4096,7.353586196899414,5.713666,0.09067383
3,0.0021826045,6144,0,PP02,1325,-113.970010375,3,0.0074086674,647.375,-2.588231086730957,-0.015932653,6144,8.900851964950562,5.694171,0.09624024
4,0.050867386,8192,0,PP02,1293,-112.36216327272727,4,0.006795302,629.1818181818181,0.1050751805305481,-0.0133799,8192,10.484995603561401,5.6710463,0.08681641
5,0.067011744,10240,0,PP02,1252,-111.87032073333334,5,0.0068937717,582.2,0.1807355284690857,-0.015732806,10240,12.119914770126343,5.6906385,0.08481445
6,0.0029395607,12288,0,PP02,1323,-111.59804323529411,6,0.008582372,701.9411764705883,-0.5460871458053589,-0.014275114,12288,13.667248010635376,5.682564,0.10893555
7,0.084486276,14336,0,PP02,1313,-111.03961036363636,7,0.00685819,626.8636363636364,0.18972742557525635,-0.017732577,14336,15.226329326629639,5.7014303,0.09008789
8,0.0008716147,16384,0,PP02,1332,-111.12221104347826,8,0.0068098665,669.1739130434783,-0.08493852615356445,-0.015147415,16384,16.7638418674469,5.7036166,0.08935547
9,0.017081527,18432,0,PP02,1281,-113.46642772000001,9,0.0077271364,719.8,0.41513919830322266,-0.015437564,18432,18.362303018569946,5.7057266,0.10429688
10,0.032760166,20480,0,PP02,1303,-113.19947317857142,10,0.00551588,707.4642857142857,0.5126393735408783,-0.0121466555,20480,19.9332058429718,5.698165,0.066259764
11,0.0014055955,22528,0,PP02,1326,-112.55511034482758,11,0.008224478,738.2413793103449,0.3281857371330261,-0.017596563,22528,21.477927446365356,5.665535,0.11679687
12,0.0005511932,24576,0,PP02,1297,-112.1535311,12,0.007970444,766.9666666666667,0.37821000814437866,-0.01950772,24576,23.056297540664673,5.606057,0.10566406
13,0.00069458794,26624,0,PP02,1240,-111.06233068750001,13,0.008354725,819.03125,0.26687097549438477,-0.016299259,26624,24.707937955856323,5.556873,0.11044922
14,0.02246998,28672,0,PP02,1221,-111.96769751515153,14,0.007962195,813.8181818181819,0.3947094678878784,-0.015457803,28672,26.384787797927856,5.5591817,0.10839844
15,0.043094378,30720,0,PP02,1255,-110.81287378378379,15,0.0071163937,817.3513513513514,0.4941518306732178,-0.01515647,30720,28.016950368881226,5.5500903,0.09243164
16,0.094646655,32768,0,PP02,1243,-110.01440476744187,16,0.0063649043,754.1627906976744,0.5473817586898804,-0.01867326,32768,29.66479229927063,5.55146,0.083300784
17,0.022087047,34816,0,PP02,1281,-109.02155054347826,17,0.009273082,744.804347826087,0.7304183840751648,-0.019780409,34816,31.263071060180664,5.5631595,0.1293457
18,0.124799095,36864,0,PP02,1250,-108.92266037931034,18,0.0068029463,619.7758620689655,0.6867340207099915,-0.019382475,36864,32.901437759399414,5.554636,0.08657227
19,0.007881949,38912,0,PP02,1252,-109.55754956666667,19,0.0070486395,616.55,0.8668633550405502,-0.01708562,38912,34.53623723983765,5.5768476,0.09335937
20,0.023781128,40960,0,PP02,1249,-108.53503054687499,20,0.0083410945,630.171875,0.6768673658370972,-0.019688983,40960,36.17558550834656,5.5946035,0.11948242
21,0.0035512422,43008,0,PP02,1236,-108.25663666666667,21,0.007281475,640.0151515151515,0.8286551833152771,-0.015294989,43008,37.83280372619629,5.580521,0.09350586
22,0.0009660341,45056,0,PP02,1242,-107.96311689552239,22,0.009284328,654.3432835820895,0.12785178422927856,-0.019458216,45056,39.481484174728394,5.5701866,0.12714843
23,0.0004397734,47104,0,PP02,1245,-107.513869,23,0.008666165,668.25,-0.37785768508911133,-0.017459733,47104,41.12548041343689,5.5405207,0.115039065
24,0.025059367,49152,0,PP02,1272,-106.75176636619717,24,0.009365283,685.7605633802817,-0.12082016468048096,-0.016932108,49152,42.73534917831421,5.525674,0.13095704
25,0.0003562526,51200,0,PP02,1261,-106.32049095833332,25,0.008985379,698.4583333333334,-0.1830209493637085,-0.01818179,51200,44.35908770561218,5.486548,0.12563476
