#{"env_id": "RockSample", "t_start": 1525351579.835815}
r,l,t
-34.812987,82,0.443778
-204.826496,147,0.539506
-206.874723,225,0.693047
-209.107672,89,0.742615
-71.688634,107,0.805099
-286.358186,84,0.854114
-175.11802,184,0.983021
-327.372415,99,1.042623
-237.465837,126,1.124215
-124.72743,99,1.186681
-27.842165,77,1.234028
-174.069682,152,1.338053
-376.809829,85,1.387733
-24.138064,128,1.467605
-218.98542,151,1.564973
-354.968937,116,1.635648
16.045977,89,1.689333
-37.20085,167,8.053623
-123.103927,96,10.22482
-7.972237,95,10.279506
-103.813084,104,10.340466
6.241619,79,10.387661
-369.321168,163,10.489273
-109.712149,102,10.549805
-284.7071,113,10.616069
-131.620069,108,10.681686
-35.945063,215,10.835747
39.756774,76,10.878724
-81.837242,138,10.961144
-224.120941,85,11.009299
-31.972115,137,11.093601
13.754065,79,11.140665
-405.279291,96,11.198501
-41.134995,71,11.238708
-6.642022,74,11.283419
-418.905681,96,11.339291
-340.644738,184,11.757617
-100.880888,142,11.845555
-291.065527,149,11.940137
-31.330357,122,12.017086
-116.085837,150,12.112641
-70.521063,119,12.185511
-154.464885,126,12.263125
-122.97765,109,12.325157
-249.961025,155,12.419294
-219.957277,135,12.499315
-219.221588,130,12.578923
-25.417433,69,12.617147
11.421494,141,12.705825
-52.388949,139,12.793129
-1.573411,88,12.84416
-25.258055,120,12.918657
52.308971,92,13.262683
-50.964452,127,13.340258
-90.687242,87,13.390954
-355.503184,131,13.469006
-401.891661,180,13.586401
-20.578802,68,13.624645
-84.283657,120,13.700758
-564.388546,117,13.769514
-293.813191,130,13.846929
-15.436688,131,13.925968
-16.963955,69,13.964083
4.759476,137,14.051238
1.129797,83,14.099826
-226.833612,148,14.188209
-161.117838,109,14.251455
-205.858592,91,14.302882
-160.083579,96,14.367324
-62.037317,160,14.489228
-292.414642,146,14.875443
-104.616001,165,14.977616
-49.946864,82,15.022785
-102.653332,117,15.097572
-38.911931,84,15.15168
-64.847481,78,15.202695
-149.971818,174,15.327695
-128.784753,134,15.412618
-125.891604,179,15.528735
-104.118341,145,15.623205
-133.601821,92,15.678207
-38.600399,99,15.736529
-213.801939,122,15.807512
70.389445,106,15.869913
32.690162,220,16.031659
-60.966922,159,16.134413
50.469734,166,16.5293
-18.995962,187,16.659833
-29.642434,87,16.712615
-18.666043,78,16.760386
62.207048,122,16.836925
-36.484482,176,16.951985
-32.636294,84,16.999361
-9.876052,194,17.127604
-155.740372,115,17.197735
-52.551744,181,17.319439
-23.926347,95,17.374555
-135.749128,189,17.502295
-5.014676,78,17.547154
3.508353,105,17.609605
-149.711205,194,17.735206
30.900024,132,18.108454
10.68033,125,18.188607
20.550451,122,18.263696
10.841453,185,18.38996
-27.046877,136,18.473913
20.937508,152,18.567122
-4.848578,108,18.632232
57.483262,104,18.695114
-23.697744,156,18.794261
-14.102974,105,18.858867
-143.994347,183,18.981598
40.755701,84,19.030944
-57.057944,172,19.147586
39.009124,135,19.233247
5.932079,133,19.316092
-23.600072,194,19.73678
-3.964799,120,19.811994
-10.624952,184,19.935834
43.025,95,19.995118
10.109262,160,20.097795
-41.572495,170,20.208073
-23.221622,172,20.31912
2.102846,138,20.40344
-29.334019,184,20.523836
10.930239,128,20.60563
-45.085479,150,20.700705
-52.621761,147,20.78791
58.712553,104,20.852964
33.53528,138,21.248036
33.979988,183,21.386034
24.262809,127,21.468239
77.142412,89,21.524431
9.40619,179,21.649466
4.535337,180,21.76718
27.323102,162,21.869391
-38.517417,124,21.941908
77.947891,100,22.004154
-35.554759,184,22.132617
63.993034,127,22.216099
76.931127,99,22.277048
45.698573,206,22.419658
39.999034,159,22.521644
-7.105339,153,22.903258
66.512214,186,23.029081
-11.310677,109,23.095731
65.725482,164,23.204634
86.550403,141,23.295228
-29.168758,147,23.38764
85.483248,110,23.45463
-84.513934,153,23.548592
-45.977713,158,23.64578
15.280093,107,23.708013
10.938607,133,23.790008
-33.434843,1000,25.99715
12.783166,153,26.092181
39.580047,112,26.160599
50.786283,142,26.247664
-1.106222,122,26.321614
47.153781,203,26.462496
86.101084,183,26.58359
52.526936,94,26.640042
58.385865,124,26.716756
57.487067,101,26.777814
-19.150964,124,26.850969
20.629098,145,26.940888
44.647955,104,27.002485
9.746272,121,27.365219
24.535684,1000,29.419476
18.523637,155,29.519498
-29.830155,162,29.621534
3.518247,141,29.704636
-51.788832,204,29.845916
16.430197,130,29.925613
-50.953599,1000,31.607812
-7.86039,1000,33.354829
69.784145,164,33.457849
66.891974,193,33.8787
10.931642,1000,35.506783
7.830302,1000,37.540084
-4.173275,1000,39.965473
5.187677,1000,42.359497
6.218133,1000,44.877052
-102.431124,370,45.191028
-30.619856,1000,47.260672
5.466644,1000,48.852004
33.28066,1000,51.567411
-41.914498,333,51.86582
79.145658,220,52.028759
-74.496713,1000,53.950035
-100.367948,1000,55.685166
62.63626,201,55.830703
-145.797946,516,56.444708
-93.018019,276,56.658292
-27.259351,1000,59.176037
4.390317,1000,61.003143
40.33332,1000,63.283493
32.510116,1000,65.098264
12.989134,1000,67.552293
41.830513,1000,69.784719
-51.065787,1000,72.255738
12.960926,1000,73.465799
-19.831625,1000,75.403694
19.319946,1000,76.813871
-21.052592,645,77.916526
-15.875666,386,78.276924
-4.359338,295,78.549867
68.055858,1000,79.822847
55.936774,292,80.380766
63.739291,1000,81.716068
21.559314,1000,83.765929
-6.059968,1000,85.177069
72.038128,1000,86.604643
13.388504,1000,88.202897
89.77385,285,88.472639
25.923988,314,88.79486
56.828589,1000,90.839026
63.010812,1000,92.588006
19.166125,1000,94.622357
10.621672,1000,96.246619
-72.164181,1000,98.79825
117.776497,820,99.913517
45.429437,1000,101.670935
-6.089586,354,102.040567
-67.050714,595,102.645162
74.680435,1000,105.103461
129.418426,759,106.180875
-37.50815,1000,107.380564
88.15657,960,109.342217
14.249398,1000,111.078909
22.428677,1000,112.915704
33.689169,1000,114.412794
44.589292,1000,116.06418
24.461363,1000,117.45436
60.139769,1000,119.133992
33.672696,1000,120.341509
21.040374,1000,122.688442
29.578473,1000,124.029656
95.619133,629,125.078296
51.726226,1000,126.448413
22.16222,1000,129.213485
-21.916135,1000,131.24035
30.258907,1000,133.803916
57.100285,1000,136.49103
61.212026,1000,138.456587
128.384784,933,139.810464
82.88711,669,141.048024
110.695349,484,141.884421
12.025991,1000,143.659537
6.607701,1000,146.022677
130.66589,965,147.245723
43.563058,1000,150.062408
136.157202,635,151.322788
-9.238148,459,151.83947
14.315945,1000,154.597379
22.395056,1000,157.152068
41.044705,1000,158.677038
25.372111,1000,160.452805
57.748812,912,161.510366
61.758049,1000,164.101099
27.038785,1000,166.555216
53.131481,498,167.394146
139.370026,786,169.026232
18.959329,502,169.722142
38.319668,1000,171.912453
60.403412,1000,173.875571
6.679523,1000,175.932325
43.730706,1000,177.689745
63.04872,1000,180.110237
59.596998,1000,182.740271
131.095926,560,183.577328
37.665985,1000,185.224111
66.738114,1000,186.881705
34.581516,1000,189.132777
24.116886,1000,191.038596
106.459374,557,191.94754
-26.913763,538,192.6424
139.711884,515,193.443176
57.732872,1000,195.46034
42.815062,1000,197.001052
53.947777,1000,199.858013
29.688459,1000,201.633342
35.588692,1000,203.980776
88.756657,1000,205.829943
46.25115,1000,208.418074
52.343747,1000,210.772545
65.128553,1000,212.383693
37.472385,1000,214.248628
32.871092,1000,217.063475
145.871548,497,217.700281
129.362596,633,218.539802
100.16138,655,219.244586
25.31741,1000,221.782194
99.384116,1000,223.090625
24.986524,1000,225.394438
25.995417,1000,226.851971
3.87833,1000,229.011868
93.273064,1000,230.531513
11.783568,1000,232.603786
75.914454,673,233.563361
47.591093,1000,235.681019
93.117542,1000,237.362794
24.014637,1000,239.255268
97.82762,1000,240.808679
37.404468,1000,242.860281
106.571122,673,243.76442
126.877464,579,244.714035
82.757133,1000,246.75146
110.216131,475,247.375883
53.570817,866,248.586119
57.922517,1000,250.923981
35.799532,1000,252.950933
146.426402,446,253.778277
84.98897,523,254.611722
46.065498,1000,256.170095
24.184613,407,256.838164
48.223292,1000,258.654695
62.907661,1000,260.392777
92.600443,533,261.387022
62.583974,1000,263.370576
134.291164,578,264.275819
180.670818,550,264.983842
92.557077,1000,267.106209
59.176198,1000,269.883578
83.637771,1000,271.854376
53.797517,1000,274.025471
78.416646,1000,275.501135
58.761018,1000,276.945435
89.929366,1000,278.117838
56.713454,1000,280.600748
171.900876,846,282.145286
18.903047,762,283.454401
90.022224,1000,284.854985
65.288967,1000,286.730834
87.52041,519,287.758399
53.889611,727,288.545061
52.06446,1000,290.483629
-7.133744,420,290.967858
38.137742,922,292.10217
37.339824,1000,293.872491
160.533947,733,294.846651
47.770815,1000,297.245813
69.881324,1000,298.933549
17.116583,1000,301.938474
92.605849,1000,303.125542
125.110743,597,304.005036
60.475698,1000,305.556702
22.885892,421,305.951766
-34.465395,1000,307.794937
111.582399,526,308.816538
50.449854,1000,310.745572
45.918111,1000,312.568564
113.500511,564,313.392958
43.043622,852,314.714789
72.865178,694,316.115384
36.259682,1000,319.090724
160.21061,492,319.678392
68.935036,752,321.024336
138.439786,456,321.521909
65.899697,1000,323.261066
146.918444,629,324.191365
51.649672,1000,325.874906
62.401359,1000,328.391672
137.402314,468,328.932274
69.866644,1000,330.563773
197.437623,892,331.790408
140.904528,556,332.783916
151.920886,895,334.712125
55.923007,1000,337.071445
128.81253,660,338.419375
146.514601,519,339.00353
49.824411,1000,341.267572
93.94131,609,342.413028
20.646483,1000,343.819849
128.90089,964,346.708459
192.426803,529,347.391568
93.6364,1000,348.86788
126.008679,763,350.929123
153.893824,729,352.285288
149.126855,964,354.443875
140.083044,967,356.801896
7.074036,1000,359.000275
168.850145,678,360.34761
137.168183,542,361.252125
72.407988,1000,362.906868
147.850253,835,364.277259
84.298488,1000,366.645088
147.998745,484,383.205779
186.606671,592,390.04118
14.910781,438,390.461143
201.752561,739,391.28473
90.742323,662,392.547026
51.721526,1000,393.654751
88.105234,447,394.272107
107.107058,381,395.047482
119.662583,592,396.043173
112.435807,681,397.40205
185.72713,650,398.681095
41.479244,1000,400.438805
180.90894,590,401.413172
185.595314,560,402.498861
124.751789,501,403.185046
161.363701,495,403.848214
185.787943,529,404.534688
132.468001,616,405.663097
19.674473,1000,407.024427
62.008542,823,408.213272
178.655897,546,409.004227
35.49553,1000,411.339372
168.287635,490,412.103756
176.635066,533,413.110293
178.569676,504,413.675003
174.97976,569,414.59148
133.153052,609,415.884979
157.944429,537,416.611128
111.113918,431,417.080446
122.975378,582,417.93179
7.662482,356,418.584014
145.848365,589,419.614442
158.176268,503,420.262009
111.202393,494,420.884975
110.855557,574,422.12241
172.278362,505,422.719855
159.881542,531,423.516579
156.44692,549,424.158766
123.644054,918,426.38966
170.918889,516,427.248273
27.1373,277,427.45732
113.054955,547,427.933312
129.617181,473,428.990939
138.070646,536,429.886784
116.641487,467,430.566554
-15.820574,1000,432.658017
7.715835,1000,435.347053
13.861875,1000,436.981999
139.319803,933,438.999475
117.398124,454,439.558713
88.845506,648,440.814317
39.605874,497,441.36979
112.170443,638,442.122775
155.522332,514,442.638202
90.939616,639,443.967088
168.589354,601,444.825982
109.110407,532,445.538425
193.926827,599,446.477485
-6.41776,1000,447.918225
124.108187,586,448.956786
96.974446,535,450.02956
164.295801,565,450.923531
216.274605,482,451.487042
129.81676,817,453.326484
154.029277,533,454.065432
70.688047,779,455.367738
168.749097,530,456.106827
42.129251,566,457.245024
61.114227,1000,459.193918
125.203487,527,459.919438
55.301823,1000,461.976839
168.532688,827,462.801389
158.810097,570,463.918584
173.084828,638,464.867691
121.880662,456,465.428125
119.392191,571,466.019717
128.941631,537,467.229127
180.807538,499,468.099471
164.205404,518,468.743091
118.447425,540,469.244441
59.490929,565,470.368291
127.327954,497,471.025339
165.290615,538,471.961852
120.305051,591,473.445915
133.385884,630,474.8145
153.267147,458,475.459665
136.524655,565,476.273849
122.414451,606,477.771302
113.260141,543,478.611897
172.901031,523,479.16267
149.82772,529,480.028951
33.68776,361,480.699005
167.613013,523,481.561113
30.225146,1000,482.933985
137.723735,779,484.315396
140.916256,567,485.276045
90.26717,935,487.255733
-22.820067,501,488.162036
125.509612,550,488.935887
148.512333,480,489.498376
94.739351,567,490.208738
142.782441,555,491.462538
130.092174,518,492.080189
112.302072,494,492.516442
144.431087,604,493.723805
139.81901,536,494.645499
16.424922,1000,497.221826
45.526337,1000,499.66196
116.096135,471,500.282146
162.095715,573,501.083866
144.458397,653,502.744776
153.682891,649,503.959508
132.455426,549,504.755408
80.786937,587,505.632242
137.267604,505,506.821784
153.68896,477,507.533934
62.449964,668,508.460886
-8.499686,1000,510.304334
124.531088,530,511.177949
77.924954,593,511.896889
-59.08007,1000,513.327713
132.755354,873,514.412075
160.17113,837,516.841566
115.684845,549,517.467178
161.054165,585,518.123475
-4.349913,420,518.516786
173.75899,528,519.44239
124.641979,550,520.326926
10.080662,477,520.785167
51.502058,1000,522.438146
141.446085,576,523.104016
168.895203,617,524.032437
145.833488,532,524.83281
183.84641,517,526.077193
104.616149,524,526.878188
122.06336,520,527.689563
97.618394,833,529.677413
100.444689,495,530.293613
140.602098,378,530.716009
93.692202,457,531.271118
