fps,EpLenMean,clipfrac,loss_ent,time_elapsed,trial,Iteration,approxkl,explained_variance,policy_loss,Name,EpRewMean,serial_timesteps,value_loss,total_timesteps,nupdates
1218,120.0,0.07607422,2.8501222,1.6810369491577148,0,1,0.0059108613,0.05076688528060913,-0.009215551,PP02-llm,-178.77179529411765,2048,0.43429464,2048,1
1330,113.34285714285714,0.10839844,2.8743353,11.3211088180542,0,2,0.007556288,0.47546929121017456,-0.013838336,PP02-llm,-153.01300417142858,4096,0.051947735,4096,2
1318,118.52941176470588,0.048535157,2.900915,12.874657154083252,0,3,0.0045278985,-0.6816487312316895,-0.008177171,PP02-llm,-144.42710460784315,6144,0.044103663,6144,3
1313,117.69565217391305,0.078027345,2.9303071,14.433661222457886,0,4,0.006554836,-0.6729351282119751,-0.0112620015,PP02-llm,-145.1887885072464,8192,0.058422364,8192,4
1271,120.27058823529411,0.10410156,2.9522188,16.044100522994995,0,5,0.0072334013,0.6103503108024597,-0.012724218,PP02-llm,-135.5773488,10240,0.011824553,10240,5
1283,122.74,0.10976563,2.949042,17.640031337738037,0,6,0.0082494775,0.6909749209880829,-0.014754402,PP02-llm,-120.76884251999999,12288,0.0154633,12288,6
1289,124.71,0.11074219,2.93082,19.228827953338623,0,7,0.008404219,0.8006785660982132,-0.013914848,PP02-llm,-94.10345224000001,14336,0.006869419,14336,7
1264,129.23,0.11586914,2.9158673,20.848666429519653,0,8,0.009199373,0.8037436008453369,-0.011707092,PP02-llm,-79.74533917,16384,0.004121932,16384,8
1250,133.5,0.080517575,2.8890374,22.486831188201904,0,9,0.006836064,0.8216737061738968,-0.008994259,PP02-llm,-53.14557041,18432,0.0045328606,18432,9
1041,136.06,0.0887207,2.8682113,24.454349756240845,0,10,0.0069171987,0.43110907077789307,-0.0081868945,PP02-llm,-42.581540399999994,20480,0.005082347,20480,10
828,147.03,0.118896484,2.8713236,26.927957773208618,0,11,0.008989834,0.901891402900219,-0.014063692,PP02-llm,-16.161556840000003,22528,0.0017106002,22528,11
679,157.59,0.08569336,2.8790812,29.94429302215576,0,12,0.0065786345,0.7930835038423538,-0.0068263463,PP02-llm,-6.47410307,24576,0.0032823738,24576,12
594,175.87,0.06015625,2.8677216,33.39181351661682,0,13,0.0052195434,0.7115009129047394,-0.004483319,PP02-llm,-3.8270892100000005,26624,0.0034573725,26624,13
575,184.67,0.04824219,2.843944,36.94926881790161,0,14,0.004479374,0.8649496138095856,-0.0045268345,PP02-llm,-0.5020894800000009,28672,0.0014037043,28672,14
418,202.3,0.13217774,2.8369222,41.84045886993408,0,15,0.009142652,0.937364749610424,-0.012604144,PP02-llm,1.9116824099999996,30720,0.0012517261,30720,15
479,222.73,0.08520508,2.8297887,46.107738733291626,0,16,0.0064538494,0.8063772469758987,-0.006869875,PP02-llm,2.8215581999999997,32768,0.0036259363,32768,16
528,238.94,0.09902344,2.7934499,49.9803261756897,0,17,0.007934356,0.9440954327583313,-0.008311977,PP02-llm,2.8527936799999996,34816,0.0014731123,34816,17
512,259.29,0.07578125,2.7708428,53.97449231147766,0,18,0.0059887934,0.8520375490188599,-0.0056702974,PP02-llm,2.9812918000000015,36864,0.003963394,36864,18
741,273.46,0.07773437,2.7714078,56.73523783683777,0,19,0.0061951485,0.8766622543334961,-0.008458367,PP02-llm,0.3837130700000007,38912,0.003775822,38912,19
462,290.5,0.08120117,2.769984,61.16036415100098,0,20,0.0065508857,0.9430471546947956,-0.0058721704,PP02-llm,2.2379438899999995,40960,0.0014269495,40960,20
487,307.66,0.075488284,2.7472281,65.35870242118835,0,21,0.0062666386,0.9388847351074219,-0.0070865294,PP02-llm,4.563133,43008,0.0010338244,43008,21
433,325.83,0.056689452,2.7176652,70.08679342269897,0,22,0.005120096,0.879417210817337,-0.0063569164,PP02-llm,5.1263927,45056,0.0019213185,45056,22
541,342.57,0.09086914,2.6870782,73.86780261993408,0,23,0.006938877,0.8757286369800568,-0.0106914025,PP02-llm,5.9334559,47104,0.0024160002,47104,23
604,360.1,0.06533203,2.6667776,77.25670456886292,0,24,0.005541298,0.9495963379740715,-0.0053987955,PP02-llm,5.6160312999999995,49152,0.0012987461,49152,24
782,377.55,0.04824219,2.6404433,79.87444806098938,0,25,0.0048205815,0.9024872332811356,-0.006259449,PP02-llm,5.8848788600000015,51200,0.0015989238,51200,25
601,387.87,0.09697266,2.5808854,83.27919411659241,0,26,0.008270956,0.9290048480033875,-0.010371698,PP02-llm,6.7437843299999995,53248,0.0007125308,53248,26
634,414.15,0.06289063,2.532844,86.5081946849823,0,27,0.0055619287,0.9427859261631966,-0.006000556,PP02-llm,8.792575269999999,55296,0.0007418083,55296,27
740,425.74,0.068164065,2.5060148,89.27266526222229,0,28,0.005895103,0.9047905653715134,-0.0056451913,PP02-llm,10.2046061,57344,0.0018995078,57344,28
530,442.6,0.057275392,2.4739575,93.13437795639038,0,29,0.0052540363,0.942164734005928,-0.009555307,PP02-llm,11.678648820000001,59392,0.0006822521,59392,29
528,459.81,0.0871582,2.4360147,97.01278471946716,0,30,0.0071544936,0.7419804036617279,-0.006690486,PP02-llm,11.652526309999999,61440,0.002691741,61440,30
535,474.71,0.062353514,2.408584,100.84021639823914,0,31,0.005578545,0.6459370255470276,-0.0023359326,PP02-llm,12.4232818,63488,0.0076347776,63488,31
582,489.26,0.053759765,2.4082518,104.3584156036377,0,32,0.0047484813,0.9142642691731453,-0.0053289835,PP02-llm,12.65070112,65536,0.0012447226,65536,32
