policy_loss,value_loss,explained_variance,EpRewMean,Iteration,serial_timesteps,fps,trial,loss_ent,total_timesteps,nupdates,approxkl,Name,clipfrac,time_elapsed,EpLenMean
-0.005938802,0.29394656,0.019007623195648193,-287.8724425,1,2048,1302,0,2.838607,2048,1,0.003662187,PP02,0.03359375,1.571974754333496,97.15
-0.009361957,0.060298868,-0.060304880142211914,-287.7395551081081,2,4096,1343,0,2.8383582,4096,2,0.0071041984,PP02,0.09277344,8.786848783493042,103.97297297297297
-0.0080005005,0.027748724,0.07829314470291138,-271.03997105660375,3,6144,1326,0,2.8588924,6144,3,0.005519814,PP02,0.06889649,10.3312668800354,111.13207547169812
-0.0054900525,0.014759786,-0.2976651191711426,-259.1963864637681,4,8192,1324,0,2.8876328,8192,4,0.003967956,PP02,0.04638672,11.87805986404419,116.3768115942029
-0.0055073462,0.020467808,-0.9030364751815796,-255.0469741265823,5,10240,699,0,2.893969,10240,5,0.0041229376,PP02,0.043261718,14.808223724365234,127.56962025316456
-0.0072981245,0.017278556,0.3330153822898865,-254.71727769791664,6,12288,1330,0,2.9024184,12288,6,0.006029772,PP02,0.07631836,16.34810495376587,125.5
-0.01403858,0.008156899,0.38155728578567505,-237.66731572,7,14336,1296,0,2.9111652,14336,7,0.008518893,PP02,0.11811523,17.927525281906128,131.27
-0.016499443,0.0048394226,0.5588335692882538,-215.59852933000002,8,16384,1266,0,2.9080808,16384,8,0.00910717,PP02,0.1274414,19.544642210006714,136.85
-0.012516742,0.0054883016,0.591993510723114,-198.64918366,9,18432,794,0,2.8989294,18432,9,0.006508162,PP02,0.07954101,22.122700452804565,148.22
-0.00681387,0.0034752232,0.6349503695964813,-180.09055658000005,10,20480,802,0,2.88726,20480,10,0.005911474,PP02,0.071582034,24.674843072891235,160.08
-0.012590234,0.002741815,0.6886309385299683,-159.15722860000002,11,22528,1170,0,2.8731382,22528,11,0.008434237,PP02,0.11953125,26.425538778305054,166.96
-0.011702312,0.0020983769,0.6939733624458313,-150.84169226000003,12,24576,657,0,2.8660836,24576,12,0.008486788,PP02,0.12055664,29.54204797744751,179.16
-0.006574381,0.0017672239,0.771170899271965,-148.89211667000004,13,26624,673,0,2.8538322,26624,13,0.005760231,PP02,0.074804686,32.58521127700806,191.5
-0.005958856,0.0016815433,0.8540792018175125,-146.06518078000002,14,28672,446,0,2.81994,28672,14,0.0052399496,PP02,0.05673828,37.167476415634155,207.84
-0.011812457,0.0022070075,0.7505915015935898,-142.53225026,15,30720,468,0,2.7812266,30720,15,0.0071541816,PP02,0.09038086,41.53712797164917,221.79
-0.0076162918,0.0011586345,0.8444066643714905,-136.76867632,16,32768,475,0,2.7590127,32768,16,0.007008382,PP02,0.08823242,45.84649682044983,248.29
-0.007080043,0.0012279975,0.8951651602983475,-129.46475235000003,17,34816,495,0,2.738857,34816,17,0.0064516016,PP02,0.07626953,49.976152420043945,265.89
