EpThisIter,entropy,TimestepsSoFar,EpLenMean,EpRewMean,TimeElapsed,surrgain,optimgain,EpisodesSoFar,ev_tdlam_before,Iteration,trial,meankl,entloss
5,1.4242879,1000,200.0,-1337.8119778301784,1.0646781921386719,0.009418394,0.009418394,5,-3.4809112548828125e-05,1,0,0.007831727,0.0
5,1.4560345,2000,200.0,-1338.2691640292057,1.5905001163482666,0.014278223,0.014278223,10,0.06510663032531738,2,0,0.0075476556,0.0
5,1.4810388,3000,200.0,-1250.5264862930555,2.182734966278076,0.011347104,0.011347104,15,0.12770861387252808,3,0,0.007321013,0.0
5,1.4717185,4000,200.0,-1203.2355477872763,2.7861831188201904,0.009727881,0.009727881,20,0.10631978511810303,4,0,0.0047637126,0.0
5,1.5226957,5000,200.0,-1230.7856157042772,3.303018093109131,0.008204089,0.008204089,25,0.01696711778640747,5,0,0.0057713813,0.0
5,1.55792,6000,200.0,-1253.4694376624018,3.8567888736724854,0.004846665,0.004846665,30,0.00545954704284668,6,0,0.005123016,0.0
5,1.5069274,7000,200.0,-1255.8750607275033,4.401259899139404,0.011669964,0.011669964,35,0.003751993179321289,7,0,0.0073983446,0.0
5,1.5192342,8000,200.0,-1251.889027682458,4.911754846572876,0.013057793,0.013057793,40,0.004075348377227783,8,0,0.0065442165,0.0
6,1.456657,9200,200.0,-1209.0842164991168,5.483267068862915,0.014131004,0.014131004,46,0.0017898082733154297,9,0,0.008950447,0.0
5,1.4709369,10200,200.0,-1193.3897653556837,6.002424955368042,0.0062362505,0.0062362505,51,0.0012184977531433105,10,0,0.0050596585,0.0
5,1.481374,11200,200.0,-1196.720216894751,6.540288925170898,0.0076989024,0.0076989024,56,0.0005713701248168945,11,0,0.0075866655,0.0
5,1.4456171,12200,200.0,-1196.8714872355808,7.0139100551605225,0.012260228,0.012260228,61,0.0003298521041870117,12,0,0.0076926034,0.0
5,1.4486979,13200,200.0,-1137.0762298299262,7.568586111068726,0.014766472,0.014766472,66,0.00014847517013549805,13,0,0.008520005,0.0
5,1.5005879,14200,200.0,-1132.582096576654,8.092592000961304,0.011559866,0.011559866,71,0.0002149343490600586,14,0,0.0070681856,0.0
5,1.5551454,15200,200.0,-1111.9401842967284,8.589951276779175,0.018618803,0.018618803,76,0.0001913309097290039,15,0,0.006049209,0.0
5,1.5590823,16200,200.0,-1102.1216696758693,9.12612009048462,0.012807099,0.012807099,81,0.00012928247451782227,16,0,0.006895601,0.0
6,1.5796506,17400,200.0,-1117.8998374072394,9.643001079559326,0.011651196,0.011651196,87,0.00015401840209960938,17,0,0.007599542,0.0
5,1.5417199,18400,200.0,-1107.7935735655985,10.262042045593262,0.01378832,0.01378832,92,9.59634780883789e-06,18,0,0.009780928,0.0
5,1.5725613,19400,200.0,-1099.545645511876,10.882522106170654,0.008667339,0.008667339,97,0.00010317564010620117,19,0,0.005914093,0.0
5,1.6399628,20400,200.0,-1103.1464101783076,11.35889720916748,0.024241786,0.024241786,102,0.00012946128845214844,20,0,0.008110763,0.0
5,1.6359844,21400,200.0,-1152.301051147998,11.842175960540771,0.014239008,0.014239008,107,7.981061935424805e-05,21,0,0.007703384,0.0
5,1.6012262,22400,200.0,-1121.350653738185,12.406955003738403,0.010902461,0.010902461,112,8.469820022583008e-05,22,0,0.0068216557,0.0
5,1.5609972,23400,200.0,-1133.606876163359,12.8924400806427,0.009983102,0.009983102,117,5.710124969482422e-05,23,0,0.0068261824,0.0
5,1.5581061,24400,200.0,-1133.4297260544286,13.380589008331299,0.013254314,0.013254314,122,4.965066909790039e-05,24,0,0.00818485,0.0
6,1.5587443,25600,200.0,-1111.139729484469,13.973895072937012,0.013390516,0.013390516,128,7.891654968261719e-05,25,0,0.006526064,0.0
5,1.5209751,26600,200.0,-1118.8304001685494,14.467375040054321,0.014287243,0.014287243,133,7.003545761108398e-05,26,0,0.0073423604,0.0
5,1.5189719,27600,200.0,-1149.7327243253562,15.000030040740967,0.01441339,0.01441339,138,4.357099533081055e-05,27,0,0.0067439014,0.0
5,1.4647626,28600,200.0,-1157.3612602063472,15.495541095733643,0.014083369,0.014083369,143,4.094839096069336e-05,28,0,0.008589127,0.0
5,1.4870324,29600,200.0,-1118.680408868321,15.978204011917114,0.01167353,0.01167353,148,5.137920379638672e-05,29,0,0.0064848736,0.0
5,1.5253925,30600,200.0,-1132.1999588155898,16.440927267074585,0.024890073,0.024890073,153,5.59687614440918e-05,30,0,0.0064401845,0.0
5,1.4653631,31600,200.0,-1103.7473109072682,16.91607904434204,0.010120783,0.010120783,158,6.282329559326172e-05,31,0,0.0070206895,0.0
5,1.4099127,32600,200.0,-1116.846942501607,17.399502992630005,0.015882941,0.015882941,163,4.291534423828125e-05,32,0,0.008256594,0.0
5,1.3848898,33600,200.0,-1129.269116038735,17.87369704246521,0.010138346,0.010138346,168,3.8504600524902344e-05,33,0,0.006142689,0.0
6,1.4085996,34800,200.0,-1154.5261319741887,18.38880205154419,0.014025534,0.014025534,174,3.325939178466797e-05,34,0,0.005396814,0.0
5,1.4533061,35800,200.0,-1139.2332564923722,18.958404064178467,0.018678002,0.018678002,179,4.088878631591797e-05,35,0,0.0058166482,0.0
5,1.4486058,36800,200.0,-1137.4519616486607,19.471132040023804,0.01680716,0.01680716,184,3.927946090698242e-05,36,0,0.0072259996,0.0
5,1.3857111,37800,200.0,-1155.3734639975416,20.042173147201538,0.015645497,0.015645497,189,4.690885543823242e-05,37,0,0.008387283,0.0
5,1.3466158,38800,200.0,-1169.175327202837,20.515549182891846,0.015212538,0.015212538,194,4.5180320739746094e-05,38,0,0.0077018766,0.0
5,1.3519288,39800,200.0,-1178.996705081609,21.129212141036987,0.018362606,0.018362606,199,4.464387893676758e-05,39,0,0.0073916614,0.0
5,1.3205879,40800,200.0,-1158.833307083789,21.681514263153076,0.015933134,0.015933134,204,4.291534423828125e-05,40,0,0.007905204,0.0
5,1.332151,41800,200.0,-1139.1237830335008,22.209856033325195,0.021903524,0.021903524,209,2.7179718017578125e-05,41,0,0.007912289,0.0
6,1.3635453,43000,200.0,-1100.360458851938,22.895349264144897,0.013058445,0.013058445,215,2.9802322387695312e-05,42,0,0.006128642,0.0
5,1.3941454,44000,200.0,-1089.0925118211012,23.44298505783081,0.014487419,0.014487419,220,2.390146255493164e-05,43,0,0.005816085,0.0
5,1.4290168,45000,200.0,-1057.9603051199383,23.94327998161316,0.018122632,0.018122632,225,2.2172927856445312e-05,44,0,0.00772769,0.0
