#{"t_start": 1523011842.456168, "env_id": "RockSample"}
r,l,t
-1765.757638,200,5.056228
-981.258161,200,5.146256
-1649.291435,200,5.220746
-1082.385908,200,5.290398
-1550.327353,200,5.368518
-940.087385,200,6.013797
-1596.882716,200,6.105392
-864.624026,200,6.216113
-1575.52186,200,6.29788
-1376.607907,200,6.367179
-1070.04002,200,6.825545
-1441.370184,200,6.919806
-1104.895835,200,6.997523
-889.80963,200,7.063314
-985.448907,200,7.13599
-799.286665,200,7.44055
-1070.226885,200,7.516821
-1759.650152,200,7.592368
-852.037367,200,7.665716
-1105.94071,200,7.732457
-1647.445005,200,7.96478
-1849.078236,200,8.062334
-1472.649079,200,8.137107
-764.052582,200,8.206905
-1499.475044,200,8.274793
-1411.399915,200,8.507925
-856.07378,200,8.625038
-1064.51531,200,8.701841
-1672.747486,200,8.7685
-1379.297122,200,8.8373
-1529.875091,200,9.070528
-800.254779,200,9.170222
-994.435947,200,9.243261
-1434.551698,200,9.309415
-1400.363616,200,9.376417
-1739.380136,200,9.624798
-977.440173,200,9.716382
-1074.347663,200,9.78878
-1163.347459,200,9.855137
-1479.817779,200,9.922619
-1804.89177,200,10.176135
-873.853787,200,10.272217
-905.332758,200,10.345021
-1036.58965,200,10.411557
-894.332697,200,10.477819
-1174.819514,200,10.731232
-888.657117,200,10.827117
-1039.908401,200,10.899468
-907.016271,200,10.965899
-1648.224961,200,11.036283
-994.567257,200,11.101733
-1183.554347,200,11.350272
-1063.369176,200,11.437011
-960.373248,200,11.502686
-1351.127648,200,11.568745
-1034.27055,200,11.647133
-1305.158669,200,11.911623
-1140.302249,200,11.993156
-1205.549043,200,12.058746
-888.120614,200,12.135653
-1084.057171,200,12.203072
-1178.816649,200,12.418666
-1069.535322,200,12.517561
-960.017916,200,12.588587
-764.888532,200,12.661527
-1030.545182,200,12.728291
-1318.608063,200,12.960247
-1823.167114,200,13.060065
-1150.008614,200,13.131901
-981.677665,200,13.198743
-885.260033,200,13.265158
-1606.630201,200,13.487591
-696.044806,200,13.577428
-1242.731053,200,13.659411
-886.79572,200,13.726405
-1360.316538,200,13.792996
-829.511793,200,14.023201
-864.867919,200,14.116798
-1010.80804,200,14.197194
-1528.954167,200,14.263961
-770.245643,200,14.330632
-1701.185667,200,14.580136
-971.60858,200,14.68147
-1178.881448,200,14.753738
-1246.778658,200,14.822812
-1877.88617,200,14.888202
-1292.738119,200,15.116924
-968.850472,200,15.213199
-913.433458,200,15.288182
-996.550662,200,15.354669
-874.881973,200,15.420655
-1207.969696,200,15.488201
-1016.949711,200,15.766004
-909.300645,200,15.839624
-1630.628903,200,15.906705
-893.744064,200,15.979197
-1124.561021,200,16.050328
-864.27006,200,16.32196
-1617.481094,200,16.403828
-1257.880826,200,16.473112
-1282.789506,200,16.592246
-1644.818283,200,16.681901
-1649.460024,200,16.96568
-1722.987685,200,17.052966
-969.64784,200,17.152766
-1204.822402,200,17.223533
-1408.614444,200,17.291202
-977.019178,200,17.511084
-1604.818841,200,17.626965
-977.084439,200,17.713424
-889.858336,200,17.784447
-1444.174174,200,17.865539
-1232.651636,200,18.266132
-1499.799265,200,18.337292
-1791.172286,200,18.434976
-1570.365353,200,18.509274
-1014.655399,200,18.584387
-1301.437568,200,18.840852
