#{"t_start": 1523010276.16183, "env_id": "RockSample"}
r,l,t
-7-1,1,5.451827
-1,1,5.45363
0,14,5.461883
-1,1,5.462677
-2,3,5.466106
-1,2,5.467185
-1,6,5.470254
-1,2,5.47124
-2,3,5.472675
-1,3,5.47409
-1,1,5.474611
-1,2,5.475582
-1,2,5.476525
-3,4,5.478991
-1,11,5.484101
-1,4,5.486227
-3,20,5.497841
-2,7,5.503597
-2,8,5.507835
-5,15,5.515183
0,6,5.517911
-1,1,5.518424
-4,12,5.523874
-4,14,5.531456
-1,1,5.532118
-1,1,5.532709
-2,9,5.536814
-6,25,5.54867
-3,5,5.55112
-5,23,5.561682
-1,1,5.562209
-1,2,5.563154
-1,19,5.573826
-1,10,5.57847
-1,1,5.579005
-2,12,5.584363
-3,5,5.586689
-2,16,5.593989
-1,6,5.596753
-5,15,5.604333
-1,1,5.60488
-2,6,5.607643
-1,19,5.616692
-1,6,5.619918
-3,7,5.623721
-3,14,5.630311
-1,1,5.630839
-2,7,5.634646
-3,16,5.643065
-1,1,5.64363
-1,2,5.647855
-2,6,5.65325
-4,14,5.664544
-2,4,5.666897
1,9,5.671403
-2,5,5.673728
-3,9,5.678013
-1,1,5.678555
-2,2,5.679897
-1,5,5.682215
0,14,5.688698
-9,30,5.704036
-1,4,5.705876
-3,10,5.711
-2,4,5.712926
0,8,5.716567
-2,6,5.719428
-1,1,5.719949
-2,6,5.722672
-5,8,5.726396
-1,2,5.727337
-1,1,5.727924
-1,6,5.730716
-1,1,5.731232
0,3,5.732741
-6,17,5.740493
-2,13,5.747185
-1,1,5.747945
0,9,5.75322
-4,13,5.759973
-2,12,5.76775
0,4,5.770436
-1,7,5.774288
-1,37,5.791641
-12,25,5.803655
-3,3,5.805426
-1,7,5.809117
-1,7,5.819734
-2,5,5.823748
-3,12,5.83072
-1,6,5.83371
-1,1,5.834296
-4,10,5.838916
-2,2,5.839904
-1,1,5.840414
-2,4,5.842324
-1,4,5.844182
-3,21,5.853931
-5,13,5.859849
0,14,5.866166
0,22,5.876457
-1,10,5.881236
-1,4,5.883077
-4,7,5.886426
-1,1,5.886948
-1,2,5.888024
-1,1,5.888561
-3,5,5.890998
-4,5,5.893363
-1,1,5.893873
-1,1,5.894375
-1,3,5.895751
-2,8,5.89954
-1,1,5.900096
-3,16,5.908002
-1,4,5.909888
-3,9,5.91406
-4,18,5.922834
-1,2,5.923901
-3,5,5.926232
-2,9,5.930211
-10,51,5.954165
-2,18,5.96231
-4,16,6.398658
-3,5,6.400677
-4,21,6.409163
-3,10,6.413957
-1,5,6.416174
-1,1,6.417011
-1,2,6.418121
-2,7,6.42219
-2,7,7.04872
-3,3,7.054248
-1,7,7.058922
-2,4,7.065503
-1,2,7.066779
-1,11,7.075446
-2,10,7.080554
-1,2,7.082151
-1,5,7.086306
-1,3,7.087762
-1,1,7.088304
0,6,7.091304
-1,1,7.093457
-5,18,7.104749
-2,3,7.106934
-1,2,7.108256
-2,4,7.110684
-2,6,7.116438
-4,19,7.128341
-3,19,7.139139
-2,6,7.141984
-1,23,7.152361
-1,2,7.153322
-2,20,7.162419
-2,7,7.165784
-1,1,7.166393
-2,4,7.168627
-1,2,7.169879
-2,13,7.176659
-1,1,7.177359
-4,5,7.180268
-2,7,7.184026
-2,8,7.188404
-1,1,7.189033
-3,6,7.192016
-5,25,7.203382
-2,5,7.205687
-2,5,7.20797
3,14,7.21484
-3,11,7.219789
-4,7,7.223033
-1,2,7.223984
-1,3,7.225362
-1,2,7.226304
-1,1,7.226895
